OTU,Domaine,Phylum,Classe,Ordre,Famille,Genre,Espece
Otu02822,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter,Arcobacter cryaerophilus
Otu02823,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,Silene,Silene noctiflora
Otu02824,Bacteria,Proteobacteria,Betaproteobacteria,Thiobacterales,Thiobacterales_unclassified,Thiobacterales_unclassified,unclassified unclassified
Otu02825,Bacteria,Proteobacteria,Alphaproteobacteria,BD7-3,BD7-3_unclassified,BD7-3_unclassified,unclassified unclassified
Otu02826,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Dok59,Dok59 unclassified
Otu02827,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium phaeobacteroides
Otu02828,Bacteria,Planctomycetes,BD7-11,BD7-11_unclassified,BD7-11_unclassified,BD7-11_unclassified,unclassified unclassified
Otu02829,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,(Chromatiaceae),Rheinheimera,Rheinheimera pacifica
Otu02830,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces,Planctomyces unclassified
Otu02831,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Plesiocystis,Plesiocystis unclassified
Otu02832,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Syntrophobacter,Syntrophobacter unclassified
Otu02833,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira,Lachnospira unclassified
Otu02834,Bacteria,Bacteroidetes,(Saprospirae),(Saprospirales),Chitinophagaceae,Chitinophagaceae_unclassified,unclassified unclassified
Otu02835,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellales_unclassified,Kiloniellales_unclassified,unclassified unclassified
Otu02836,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Tatlockia,Tatlockia unclassified
Otu02837,Bacteria,Bacteroidetes,VC2 1 Bac22,VC2 1 Bac22_unclassified,VC2 1 Bac22_unclassified,VC2 1 Bac22_unclassified,unclassified unclassified
Otu02838,Bacteria,Cyanobacteria,Chloroplast,Chlorophyta,Ulvophyceae,Bryopsis,Bryopsis hypnoides
Otu02839,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Actinotelluria,Actinotelluria brasiliensis
Otu02840,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,Heterosigma,Heterosigma akashiwo
Otu02841,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Sanguibacteraceae,Sanguibacter,Sanguibacter unclassified
Otu02842,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas unclassified
Otu02843,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaerales_unclassified,Phycisphaerales_unclassified,unclassified unclassified
Otu02844,Bacteria,Bacteroidetes,(Saprospirae),(Saprospirales),Chitinophagaceae,Ferruginibacter,Ferruginibacter alkalilentus
Otu02845,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,Thalassiosira,Thalassiosira pseudonana
Otu02846,Bacteria,Bacteroidetes,(Saprospirae),(Saprospirales),Saprospiraceae,Saprospiraceae_unclassified,unclassified unclassified
Otu02847,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmataceae_unclassified,unclassified unclassified
Otu02848,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospira,Rhodospira trueperi
Otu02849,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Vitreoscilla,Vitreoscilla unclassified
Otu02850,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Salinimicrobium,Salinimicrobium unclassified
Otu02851,Bacteria,BRC1,PRR-11,PRR-11_unclassified,PRR-11_unclassified,PRR-11_unclassified,unclassified unclassified
Otu02852,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmataceae_unclassified,unclassified unclassified
Otu02853,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter xinjiangensis
Otu02854,Bacteria,Proteobacteria,Alphaproteobacteria,Kordiimonadales,Kordiimonadaceae,Kordiimonas,Kordiimonas gwangyangensis
Otu02855,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Cystobacter,Cystobacter fuscus
Otu02856,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter unclassified
